vinyl_code,vinyl_title,vinyl_release_date,label_name,genre_name,artists_names_track_title,artists_names_track_title,artists_names_track_title,artists_names_track_title,artists_names_track_title,artists_names_track_title,artists_names_track_title,artists_names_track_title,artists_names_track_title,artists_names_track_title,artists_names_track_title,artists_names_track_title,artists_names_track_title,artists_names_track_title,artists_names_track_title
AL016,Realm Of Consciousness Part III,7/6/2018,Afterlife Recordings Germany,Techno,Tale Of Us - Nova,Agents Of Time - Paradigm,"Recondite, Henrik Schwarz - Motion",Ovend - Nuits Fauves,Mind Against - Portal,Fideles - Lotus,SCB - Tide Slide,Oostil - Quantic,Sterac - Universum,Edit Select - Phase In,"Luigi Tozzi, Antonio Ruscito - Subterrel + Ex Funzione","Konstantin Sibold, Kosme - Cyclone",Hunter/Game - Changing Weather,Kevin De Vries - Magoa,Tone Depth - Ibn Sina
CINCIN12,Time Of The G's,11/23/2019,Cin Cin,Techno,Pional - Time Of The G's,Pional - Born 2 Be Wild,Davis - Clone Heart,Davis - Delusions,,,,,,,,,,,
IV79,Vilara EP,4/30/2018,Innervisions Germany,Minimal/Tech House,Trikk - Vilara,Trikk - Devila,,,,,,,,,,,,,
IV81,Love Song,9/18/2018,Innervisions Germany,Minimal/Tech House,Marcus Worgull - Love Song,Marcus Worgull - Love Dub,Marcus Worgull - Listen To Charanjit,,,,,,,,,,,,
IV82,Romantico Disco EP,10/12/2018,Innervisions Germany,Disco/Nu-Disco,"Musumeci, Phunkadelica - Babilonia","Musumeci, Phunkadelica - Velluto Blu",Stereocalypse - Lone Solo Drummer,Stereocalypse - The Cunning Man,,,,,,,,,,,
IVLP09,Dream House,6/5/2018,Innervisions Germany,Minimal/Tech House,Ame - The Line (feat Matthew Herbert),Ame - Queen Of Toys,Ame - Gerne (feat Gudrun Gut),Ame - Deadlocked (feat Roedelius),Ame - Blind Eye (feat Planningtorock),Ame - Positivland,Ame - Helliconia,Ame - Futuro Antico,Ame - No War,Ame - Give Me Your Ghost (feat Jens Kuross),Ame - Oldorado,,,,
KM044,Do You Still Think Of Me?,7/19/2018,Keinemusik Germany,Minimal/Tech House,Adam Port - Do You Still Think Of Me?,Adam Port - Do You Still Think Of Me? (Roots edit),,,,,,,,,,,,,
KM029,Newborn Soul,9/8/2015,Keinemusik Germany,Minimal/Tech House,Rampa - Newborn Soul,Rampa - Mascha,,,,,,,,,,,,,
KM034,One On One,8/26/2016,Keinemusik Germany,Minimal/Tech House,&ME - One On One (feat Fink),&ME - Cape Coast,"&ME - One On One (feat Fink, Fink mix)",,,,,,,,,,,,
WGVINYL53,Watergate 25 EP #1,11/29/2018,Watergate,Minimal/Tech House,Lehar - Blue Wolf,SBTH - 4W1R6,Acid Pauli - Greetings From Orgonon,Musumeci - Invaders,Stereocalypse - Jubeelee!,,,,,,,,,,
RMS014 ,What To Do,3/1/2018,Rumors,Techno,Guy Gerber - What To Do,Guy Gerber - Night Of The Gold Diggers,Guy Gerber - Humming Bird Blues,,,,,,,,,,,,
PAMPA030,Seeing Aliens EP,1/31/2018,Pampa Germany,Deep House,DJ Koze - Seeing Aliens,DJ Koze - Nein Konig Nein,,,,,,,,,,,,,
DIYNAMIC097 ,Picture,2/27/2018,Diynamic Germany,Minimal/Tech House,Karmon - Eleventh Hour,Karmon - Acido,Karmon - Endless,Karmon - Holding Pattern,Karmon - Major Minor,Karmon - Brutus Jam,,,,,,,,,
PP025,Aqua EP,12/20/2017,Public Possession Germany,Deep House,Mozaika - Taba Taba,Mozaika - T-T-Tool,Mozaika - Voyager,Mozaika - Whistler,,,,,,,,,,,
OBJ052,Toona EP,12/12/2017,Objektivity US,Minimal/Tech House,Jonathan Kaspar - Toona,Jonathan Kaspar - Khaya,,,,,,,,,,,,,
SLANG50126LP,Open,10/20/2017,City Slang,Experimental/Electronic,Grandbrothers - 1202,Grandbrothers - Bloodflow,Grandbrothers - From A Distance,Grandbrothers - Long Forgotten Future,Grandbrothers - Honey,Grandbrothers - Alice,Grandbrothers - White Nights,Grandbrothers - Circonflexe,Grandbrothers - Sonic Riots,Grandbrothers - London Bridges,,,,,
SOH003 ,Virgo,7/21/2017,Sum Over Histories,Techno,Frankey & Sandrino - Virgo,Frankey & Sandrino - Solaris,,,,,,,,,,,,,
NS15,NYC Berlin Dialogues 2016,12/1/2016,Novel Sound US,Techno,Levon Vincent - Berlin,Levon Vincent - NYC,,,,,,,,,,,,,
LL1209,Internacional EP,7/5/2016,Lossless CC,Techno,Trikk - Protorhyt (black version),Trikk - Bodies (modern dub),,,,,,,,,,,,,
MTRXCR003LPC,Sacred Ground,5/13/2015,Monkeytown x Counter,Minimal/Tech House,Howling - Signs,Howling - Stole The Night,Howling - Interlude I,Howling - X Machina,Howling - Short Line,Howling - Litmus,Howling - Zurich,Howling - Quartz,Howling - Interlude II,Howling - Forest,Howling - Howling,Howling - Lullaby,,,
MULTINOTES003,Penta EP,10/19/2018,Multinotes Germany,Techno,Lehar - Shardana,Lehar - Penta,Lehar - Leonida,Lehar - Chinesisma (feat Enzo Elia),,,,,,,,,,,
RBLP12,Power,11/22/2018,Running Back Germany,Deep House,Lauer - Blissos,Lauer - Fatigue,Lauer - Direction,Lauer - Mirrors (with Jasnau),Lauer - Phaser7,Lauer - Faell,Lauer - Realistic,Lauer - Nirost,Lauer - Power (with Jasnau),,,,,,
AL0020,Nude,10/30/2018,Afterlife Recordings Germany,Techno,Adriatique - Dawning,Adriatique - Awakening Machines,Adriatique - Random Notes Orchestra,Adriatique - Nude,Adriatique - Panchromatic,Adriatique - Tachykardia (feat Delhia De France),Adriatique - Point Of No Return,Adriatique - Buchla's Dreaming,Adriatique - Studies In Dance Theory,Adriatique - Mystery (feat Jono McCleery),Adriatique - Ultraschall,Adriatique - Ray (Re-incarnation),Adriatique - Track 13,,
PIASR392LP,D'Angelo,10/19/2018,PIAS,Experimental/Electronic,David August - Narciso,David August - D'Angelo,David August - 33Chants,David August - Florence,David August - The Life Of Merisi,David August - Elysian Fields,David August - True Heart,,,,,,,,
IV67,Secret Weapons Part 8,10/6/2016,Innervisions Germany,Minimal/Tech House,Yotam Avni - Tikkun,Ingrid Lukas - We Are (Manuel Tur remix 3),Rampa - Necessity,Fred Und Luna - Im Klanggarten (Prins Thomas remix),Mosca - In This Life Or The Next,Alex.Do - Drenched,Eagles & Butterflies - X,Davis - Blind (feat Cameo Culture),Denis Horvat - Momak,Quarion - Monolith,Dino Lenny - A Certain Distance (Dixon Retouch),Culoe De Song - Judgement Day,Francesco Chiocci - Nightmares,,
IV25,Caballero EP,12/9/2009,Innervisions Germany,Minimal/Tech House,Tokyo Black Star - Caballero (single version),Tokyo Black Star - Caballero (Radio Slave's Innervision remix),,,,,,,,,,,,,
LAD042,Solar Warriors,12/12/2018,Life & Death Italy,Deep House,Marvin & Guy - Notte (feat Allo),Marvin & Guy - Idra (feat Perel),Marvin & Guy - Stige (9AM mix),,,,,,,,,,,,
IV83,Remix EP,12/13/2018,Innervisions Germany,Minimal/Tech House,Alex Smoke - Fall Out (Tale Of Us remix),Alex Smoke - Dust (Mano Le Tough remix),,,,,,,,,,,,,
PERMVAC1801 ,Permanent Vacation 5,12/7/2018,Permanent Vacation Germany,Disco/Nu-Disco,Perel - Angelika,Julian Stetter - Pearl,Personnal Message - Nightmare In The Daylight,Sascha Funke - Kaleidoskop,Cooper Saver - Forest Theme,Beesmut Soundsystem - Yayang,,Davis - Fragments,Chinaski - Die Hand Die Verletzt,Maajo - Theme For The Lost World,Chloe - Through The Bells,Musk - Cynic Games,Christian S - High Tide,,
RMS015,What To Do (Remixes),10/29/2018,Rumors,Minimal/Tech House,Guy Gerber - What To Do (&ME remix),Guy Gerber - What To Do (DJ Jes remix),,,,,,,,,,,,,
KM045,Sunday EP,11/19/2018,Keinemusik Germany,Minimal/Tech House,Rampa - Sunday,Rampa - Purge,,,,,,,,,,,,,
SVEN1,A Homage To Frankfurt: Farmacia,8/17/2018,Music For Clubs,Minimal/Tech House,Unknown Artist - A Homage To Frankfurt: Farmacia,,,,,,,,,,,,,,
TA0001,In Light EP,7/4/2018,Tropical Animals,Deep House,Whitesquare - Limitation,Whitesquare - Velvet Room,Whitesquare - Pressing Points,,,,,,,,,,,,
KOMPAKT369,II Remixes,10/25/2017,Kompakt Germany,Deep House,Vermont - Dschuna (Dixon mix),Vermont - Dschuna (Dixon instrumental mix),Vermont - Skorbut (I:Cube mix),Vermont - Paradigma (Wassermann Krautramatrik mix),,,,,,,,,,,
KM037,Avalon EP,7/13/2017,Keinemusik Germany,Deep House,&ME - Avalon,&ME - The Rapture,,,,,,,,,,,,,
KM028,Trilogy,7/10/2015,Keinemusik Germany,Minimal/Tech House,&ME - Trilogy (feat Sabota),&ME - Woods,,,,,,,,,,,,,
MAG092DELUXE,Imaginary Lines (remastered),11/17/2016,Magnetron Holland,Disco/Nu-Disco,Fatima Yamaha - Shuppatsu,Fatima Yamaha - Borderless II,Fatima Yamaha - Love Invaders,Fatima Yamaha - Only Of The Universe,Fatima Yamaha - Migratory Floozy,Fatima Yamaha - Sazak Bay,Fatima Yamaha - Citizens (feat Sofie Winterson),"Fatima Yamaha - Sooty Shearwater, King Of Migration",Fatima Yamaha - Night Crossing,Fatima Yamaha - Imaginary Lines,,,,,
REKIDS088,Art Of War Part II EP,11/20/2018,Rekids,Deep House,Peggy Gou - Jen High,"Peggy Gou - When Round, They Go","Peggy Gou - When Round, They Go (Terekke remix)",,,,,,,,,,,,
IV50III,Epikur EP,3/17/2014,Innervisions Germany,Minimal/Tech House,David August - Ipikur,David August - Agatha,,,,,,,,,,,,,
IV39S,Howling (Ame remix),7/27/2012,Innervisions Germany,Deep House,"RY X, Frank Wiedemann - Howling (Ame remix)",,,,,,,,,,,,,,
COUNT087,JBY,5/27/2016,Counter,Minimal/Tech House,David August - JBY,David August - Ouvert,,,,,,,,,,,,,
